participant_id,difficulty,frequency,area,instance,duration,fix_count,fix_freq,time_1st_fix,visit_count,visit_freq,visit_len,dwell_pct,stat_entropy,trans_entropy
1,Easy,Slow,Ticket,1,"[152.5791666160027, 186.431625043042, 140.63971433123308, 141.0222778148535, 132.47380001703277, 148.2370999874547]","[3.0, 4.0, 7.0, 9.0, 10.0, 5.0]","[0.06835781041388518, 0.11541279233586926, 0.137536362539774, 0.4298507462686567, 0.47619047619047616, 0.14496857126677615]","[0.9960243701934814, 1.4294538497924805, 1.5644915103912354, 1.0690267086029053, 1.1176707744598389, 1.609788179397583]","[1.0, 1.0, 4.0, 3.0, 1.0, 2.0]","[0.022785936804628395, 0.028853198083967316, 0.07859220716558514, 0.14328358208955225, 0.047619047619047616, 0.05798742850671046]","[0.464031457901001, 0.755948543548584, 0.2499871850013733, 0.4371771017710368, 1.3814640045166016, 0.3770294189453125]","[1.1490822601897437, 2.3580206729204214, 2.235316316715621, 7.139119863959934, 7.146573593847928, 2.4587885454849356]","[1.21, 0.93, 1.14, 0.97, 1.11, 1.25]","[0.4, 0.37, 0.46, 0.43, 0.39, 0.44]"
1,Easy,Slow,Ticket,2,"[100.2670000307262, 132.31091666966677, 154.02449993416667, 124.0384285338223, 146.92916666778424, 133.2437500047187, 100.08249998403092]","[1, 6, 5, 7, 3, 6, 3]","[0.032219156733530784, 0.26149131767109296, 0.19395408743086598, 0.2334549244398124, 0.0928377153218495, 0.22469727464478523, 0.15458937198067632]","[1.019171953201294, 1.0298347473144531, 0.6524059772491455, 0.7994029521942139, 1.1751248836517334, 1.814681053161621, 1.0467193126678467]","[1, 3, 1, 1, 2, 3, 1]","[0.032219156733530784, 0.13074565883554648, 0.0387908174861732, 0.03335070349140177, 0.061891810214566335, 0.11234863732239261, 0.05152979066022544]","[0.10026693344116211, 0.2680641810099284, 0.7862181663513184, 0.9520480632781982, 0.22405970096588135, 0.2713041305541992, 0.33612632751464844]","[0.3597210514858036, 3.8378090067680275, 3.29411652355399, 3.6642414048554466, 1.5932659004829934, 3.88253106338406, 2.0263325378341226]","[1.21, 1.16, 1.14, 1.31, 1.24, 1.4, 1.11]","[0.41, 0.46, 0.46, 0.43, 0.45, 0.45, 0.47]"
1,Easy,Slow,Description,1,"[165.30409782021508, 159.862717742198, 153.04593644321943, 151.25015493101952, 153.35742143381918, 154.17490476587167]","[46.0, 124.0, 118.0, 71.0, 70.0, 84.0]","[1.0481530930129062, 3.577796562411947, 2.318470111384762, 3.391044776119403, 3.3333333333333335, 2.4354719972818395]","[0.11201930046081543, 2.349426507949829, 1.3325355052947998, 1.920799970626831, 2.730750799179077, 0.8277895450592041]","[4.0, 7.0, 10.0, 5.0, 4.0, 7.0]","[0.09114374721851358, 0.2019723865877712, 0.19648051791396284, 0.23880597014925373, 0.19047619047619047, 0.2029559997734866]","[2.3268964886665344, 3.3124820504869734, 2.083530306816101, 2.5357007026672362, 3.13323312997818, 2.243534428732736]","[23.04839838677456, 72.32808177580515, 46.57588039134836, 69.0134927856223, 64.83522140819548, 51.209050730581005]","[1.21, 0.93, 1.14, 0.97, 1.11, 1.25]","[0.4, 0.37, 0.46, 0.43, 0.39, 0.44]"
1,Easy,Slow,Description,2,"[142.08486793949356, 150.82274528246654, 144.65163460520742, 148.52524074268769, 151.15270878004094, 150.30651852591998, 168.50911321795002]","[53, 53, 52, 54, 91, 54, 53]","[1.7076153068771314, 2.309839972761321, 2.0171225092810063, 1.8009379885356958, 2.8160773647627684, 2.0222754718030673, 2.7310789049919486]","[1.1236469745635986, 1.5723958015441895, 0.2566525936126709, 2.1753973960876465, 1.487605094909668, 2.798772096633911, 1.7155423164367676]","[4, 5, 5, 4, 8, 6, 5]","[0.12887662693412313, 0.21790943139257746, 0.19395408743086598, 0.13340281396560708, 0.24756724085826534, 0.22469727464478523, 0.2576489533011272]","[2.3156155943870544, 1.8343323707580566, 1.8206260681152344, 2.3873130679130554, 1.983618140220642, 1.5951764583587646, 2.080362319946289]","[33.23032421007015, 43.76947632080122, 38.14052301808321, 36.75315029654478, 56.42123289050173, 45.6559370364589, 62.70716564455271]","[1.21, 1.16, 1.14, 1.31, 1.24, 1.4, 1.11]","[0.41, 0.46, 0.46, 0.43, 0.45, 0.45, 0.47]"
1,Easy,Slow,Map,1,"[145.59207406947044, 149.11057144802595, 150.20094737778172, nan, 135.63429997302592, 158.8523333426565]","[27.0, 7.0, 19.0, nan, 5.0, 15.0]","[0.6152202937249667, 0.2019723865877712, 0.3733129840365294, nan, 0.23809523809523808, 0.43490571380032844]","[5.712158441543579, 0.09353280067443848, 0.0651099681854248, nan, 0.00170135498046875, 6.427789926528931]","[2.0, 4.0, 4.0, nan, 2.0, 2.0]","[0.04557187360925679, 0.11541279233586926, 0.07859220716558514, nan, 0.09523809523809523, 0.05798742850671046]","[2.4299787282943726, 0.2645588517189026, 0.785831093788147, nan, 0.37507426738739014, 1.3433985710144043]","[12.034724809183992, 3.300940239285837, 7.0266844523149405, nan, 3.88065971502534, 8.760942389246718]","[1.21, 0.93, 1.14, 0.97, 1.11, 1.25]","[0.4, 0.37, 0.46, 0.43, 0.39, 0.44]"
1,Easy,Slow,Map,2,"[137.22837499226443, 219.7595001198352, 139.99449997209013, 124.53995836161387, 142.57028333765143, 147.91230554692447, 163.9594999141991]","[20, 1, 1, 12, 30, 18, 2]","[0.6443831346706157, 0.04358188627851549, 0.0387908174861732, 0.40020844189682125, 0.928377153218495, 0.6740918239343557, 0.10305958132045089]","[0.19917035102844238, 19.046902656555176, 3.884615421295166, 7.085393905639648, 0.10913634300231934, 0.14870643615722656, 15.022761344909668]","[3, 1, 1, 1, 4, 4, 2]","[0.09665747020059234, 0.04358188627851549, 0.0387908174861732, 0.03335070349140177, 0.12378362042913267, 0.14979818309652349, 0.10305958132045089]","[1.0041354497273762, 0.21975946426391602, 0.13999438285827637, 1.948502779006958, 1.1859300136566162, 0.8230816125869751, 0.16395950317382812]","[10.807411199687198, 1.0487474157582883, 0.5865519642192104, 7.499395078572707, 16.866057064015635, 15.705080602305946, 1.9768548249393887]","[1.21, 1.16, 1.14, 1.31, 1.24, 1.4, 1.11]","[0.41, 0.46, 0.46, 0.43, 0.45, 0.45, 0.47]"
1,Easy,Slow,Diagnostics,1,"[153.90234545550564, 145.38303998298943, 147.5856752547714, 173.54742309544235, 142.06588463499568, 153.04990000731777]","[110.0, 25.0, 97.0, 13.0, 13.0, 40.0]","[2.5064530485091234, 0.7213299520991828, 1.9058610237654396, 0.6208955223880597, 0.6190476190476191, 1.1597485701342092]","[16.864041090011597, 18.709394931793213, 18.506884574890137, 0.03299570083618164, 7.688066482543945, 0.1018362045288086]","[6.0, 1.0, 6.0, 2.0, 2.0, 2.0]","[0.13671562082777036, 0.028853198083967316, 0.11788831074837772, 0.0955223880597015, 0.09523809523809523, 0.05798742850671046]","[3.879300355911255, 5.008158922195435, 3.045256495475769, 1.3150577545166016, 1.438570499420166, 4.268372178077698]","[57.637927063251794, 15.621886400325764, 40.84476289984918, 14.31663110059378, 14.883992504230662, 27.836089418916977]","[1.21, 0.93, 1.14, 0.97, 1.11, 1.25]","[0.4, 0.37, 0.46, 0.43, 0.39, 0.44]"
1,Easy,Slow,Diagnostics,2,"[142.58413460666839, 173.75021111478821, 159.32059017216145, 151.38299193706425, 139.9791666820723, 129.10297917066296, 136.73680768204997]","[78, 45, 61, 62, 24, 24, 26]","[2.513094225215401, 1.9611848825331972, 2.366239866656565, 2.0677436164669096, 0.742701722574796, 0.8987890985791409, 1.3397745571658615]","[12.101187229156494, 7.058861255645752, 7.60468053817749, 11.515450477600098, 21.97107195854187, 9.893257141113281, 7.610738277435303]","[3, 2, 3, 5, 2, 2, 4]","[0.09665747020059234, 0.08716377255703098, 0.11637245245851958, 0.16675351745700887, 0.061891810214566335, 0.07489909154826174, 0.20611916264090177]","[4.472014586130778, 4.390246152877808, 3.674689849217733, 2.204474925994873, 1.987534999847412, 2.3047451972961426, 1.0266934633255005]","[48.13185366220878, 41.90271688907987, 46.1889221184769, 42.42290180173217, 14.133160615775155, 21.988226038452886, 24.757624747825215]","[1.21, 1.16, 1.14, 1.31, 1.24, 1.4, 1.11]","[0.41, 0.46, 0.46, 0.43, 0.45, 0.45, 0.47]"
1,Easy,Slow,Actions,1,"[126.75570586340173, 146.381038464964, 121.3333750104842, 156.11054549332368, 186.96244445163757, 154.47241175399327]","[17.0, 13.0, 12.0, 11.0, 9.0, 17.0]","[0.3873609256786827, 0.3750915750915751, 0.23577662149675543, 0.5253731343283582, 0.42857142857142855, 0.4928931423070389]","[25.584004402160645, 13.612376689910889, 1.888495683670044, 0.2609877586364746, 6.481822967529297, 1.259840726852417]","[6.0, 2.0, 6.0, 5.0, 2.0, 3.0]","[0.13671562082777036, 0.05770639616793463, 0.11788831074837772, 0.23880597014925373, 0.09523809523809523, 0.08698114276006569]","[0.4125685691833496, 1.0244441032409668, 0.24733157952626547, 0.35018000602722166, 0.8943761587142944, 0.9951865673065186]","[6.12986748059991, 6.3910709116628395, 3.3173559397719004, 9.530756249823986, 9.253552778700588, 9.735128915770366]","[1.21, 0.93, 1.14, 0.97, 1.11, 1.25]","[0.4, 0.37, 0.46, 0.43, 0.39, 0.44]"
1,Easy,Slow,Actions,2,"[123.41599997931293, 136.5843461289142, 151.49721872148803, 137.22318744839868, 137.4006052562771, 126.40949999178319, 130.11070002103224]","[14, 13, 16, 16, 19, 19, 10]","[0.45106819426943096, 0.5665645216207014, 0.6206530797787712, 0.5336112558624283, 0.5879721970383802, 0.7115413697084866, 0.5152979066022544]","[19.48914885520935, 13.641795873641968, 15.588704109191895, 16.097427129745483, 17.34907841682434, 2.330677032470703, 10.422774314880371]","[2, 3, 4, 5, 3, 5, 5]","[0.06443831346706157, 0.13074565883554648, 0.1551632699446928, 0.16675351745700887, 0.0928377153218495, 0.18724772887065436, 0.2576489533011272]","[1.0411722660064697, 0.6594546635945638, 0.7034832239151001, 0.5019909858703613, 1.02999480565389, 0.5353320598602295, 0.28305692672729493]","[7.470689876548063, 9.441250367592604, 11.789886375666685, 9.660311418294892, 10.986283529224487, 12.7682252593982, 8.532022244848562]","[1.21, 1.16, 1.14, 1.31, 1.24, 1.4, 1.11]","[0.41, 0.46, 0.46, 0.43, 0.45, 0.45, 0.47]"
