,participant_id,block_id,block_type,NASA_TLX_01,NASA_TLX_02,NASA_TLX_03,NASA_TLX_04,NASA_TLX_05,NASA_TLX_Score,NASA_TLX_Score2,NASA_TLX_Score3,FL_Score
0,1,1,4,11,19,11,2,,28.75,28.75,50,
1,1,2,1,8,19,11,2,,25.0,25.0,35,
2,1,3,2,12,19,12,2,,31.25,31.25,55,
3,1,4,3,14,17,15,4,,42.5,42.5,65,
4,1,5,5,9,20,9,2,,22.5,22.5,40,
5,1,6,7,14,18,14,3,,38.75,38.75,65,
6,1,7,6,10,19,9,2,,25.0,25.0,45,
7,1,8,8,14,20,13,2,,33.75,33.75,65,
8,2,1,4,11,10,10,10,,48.75,48.75,50,5.0
9,2,2,3,11,11,11,11,,50.0,50.0,50,5.0
10,2,3,2,13,13,11,13,,52.5,52.5,60,6.0
11,2,4,1,12,12,13,13,,55.0,55.0,55,6.0
12,2,5,8,11,12,12,11,,50.0,50.0,50,5.0
13,2,6,6,12,12,12,12,,52.5,52.5,55,5.0
14,2,7,7,12,12,12,12,,52.5,52.5,55,6.0
15,2,8,5,11,12,12,12,,51.25,51.25,50,6.0
16,4,1,1,7,19,6,3,,18.75,18.75,30,3.0
17,4,2,2,10,20,8,2,,22.5,22.5,45,4.0
18,4,3,4,14,19,12,3,,35.0,35.0,65,4.0
19,4,4,3,10,20,8,2,,22.5,22.5,45,2.0
20,4,5,6,9,20,7,2,,20.0,20.0,40,4.0
21,4,6,8,13,19,12,2,,32.5,32.5,60,5.0
22,4,7,5,6,20,4,1,,11.25,11.25,25,2.0
23,4,8,7,5,19,3,2,,11.25,11.25,20,3.0
24,5,1,3,7,13,9,9,,37.5,37.5,30,5.0
25,5,2,4,11,15,11,11,,45.0,45.0,50,5.0
26,5,3,1,5,19,3,15,,27.5,27.5,20,3.0
27,5,4,2,11,17,13,15,,50.0,50.0,50,5.0
28,5,5,6,13,15,5,13,,42.5,42.5,60,5.0
29,5,6,8,15,11,13,13,,60.0,60.0,70,6.0
30,5,7,7,7,17,5,11,,30.0,30.0,30,5.0
31,5,8,5,5,17,5,6,,21.25,21.25,20,5.0
32,6,1,3,9,19,5,2,,18.75,18.75,40,3.0
33,6,2,2,12,19,11,5,,33.75,33.75,55,4.0
34,6,3,4,15,13,12,6,,47.5,47.5,70,6.0
35,6,4,1,15,9,13,6,,53.75,53.75,70,6.0
36,6,5,5,11,17,9,2,,28.75,28.75,50,3.0
37,6,6,6,14,14,12,3,,41.25,41.25,65,6.0
38,6,7,8,11,17,8,3,,28.75,28.75,50,5.0
39,6,8,7,12,18,8,2,,27.5,27.5,55,5.0
40,7,1,2,16,21,16,1,,37.5,37.5,75,5.0
41,7,2,4,18,20,13,1,,37.5,37.5,85,5.0
42,7,3,1,17,20,12,1,,35.0,35.0,80,4.0
43,7,4,3,16,20,12,1,,33.75,33.75,75,4.0
44,7,5,5,15,20,11,1,,31.25,31.25,70,4.0
45,7,6,7,16,19,14,1,,37.5,37.5,75,5.0
46,7,7,6,17,20,14,1,,37.5,37.5,80,5.0
47,7,8,8,17,20,14,1,,37.5,37.5,80,5.0
48,8,1,1,4,17,4,7,,20.0,20.0,15,3.0
49,8,2,3,8,17,8,4,,26.25,26.25,35,5.0
50,8,3,2,6,15,8,6,,28.75,28.75,25,4.0
51,8,4,4,11,15,9,6,,36.25,36.25,50,5.0
52,8,5,8,11,16,9,3,,31.25,31.25,50,5.0
53,8,6,6,6,17,6,3,,20.0,20.0,25,4.0
54,8,7,5,5,18,4,3,,15.0,15.0,20,2.0
55,8,8,7,12,17,9,4,,32.5,32.5,55,5.0
56,9,1,4,17,14,12,5,,47.5,47.5,80,5.0
57,9,2,1,8,18,5,1,,17.5,17.5,35,5.0
58,9,3,3,8,20,5,1,,15.0,15.0,35,5.0
59,9,4,2,8,21,9,1,,18.75,18.75,35,5.0
60,9,5,7,7,20,5,1,,13.75,13.75,30,5.0
61,9,6,5,5,21,4,1,,8.75,8.75,20,5.0
62,9,7,8,5,21,4,1,,8.75,8.75,20,2.0
63,9,8,6,6,20,7,1,,15.0,15.0,25,3.0
64,10,1,3,3,20,2,2,,6.25,6.25,10,2.0
65,10,2,1,3,20,2,2,,6.25,6.25,10,2.0
66,10,3,2,5,21,2,1,,6.25,6.25,20,4.0
67,10,4,4,3,21,2,2,,5.0,5.0,10,2.0
68,10,5,6,3,16,2,15,,27.5,27.5,10,3.0
69,10,6,7,4,20,2,2,,7.5,7.5,15,3.0
70,10,7,5,3,21,3,1,,5.0,5.0,10,2.0
71,10,8,8,3,21,4,2,,7.5,7.5,10,3.0
72,11,1,4,11,12,10,4,,38.75,38.75,50,4.0
73,11,2,2,8,18,6,2,,20.0,20.0,35,3.0
74,11,3,3,9,16,6,3,,25.0,25.0,40,3.0
75,11,4,1,6,18,4,3,,16.25,16.25,25,2.0
76,11,5,8,10,16,7,4,,28.75,28.75,45,4.0
77,11,6,5,7,19,5,3,,17.5,17.5,30,3.0
78,11,7,7,10,14,10,3,,33.75,33.75,45,4.0
79,11,8,6,11,15,7,4,,31.25,31.25,50,4.0
80,12,1,2,9,19,5,1,,17.5,17.5,40,2.0
81,12,2,4,13,19,11,2,,31.25,31.25,60,4.0
82,12,3,1,6,16,2,1,,13.75,13.75,25,3.0
83,12,4,3,11,21,2,1,,13.75,13.75,50,3.0
84,12,5,7,11,18,2,1,,17.5,17.5,50,3.0
85,12,6,6,10,19,4,2,,18.75,18.75,45,3.0
86,12,7,8,6,18,3,1,,12.5,12.5,25,1.0
87,12,8,5,3,18,2,1,,7.5,7.5,10,2.0
88,13,1,3,3,16,5,20,3.0,32.0,37.5,10,2.0
89,13,2,2,7,16,5,5,6.0,24.0,23.75,30,3.0
90,13,3,1,4,17,4,3,3.0,14.0,15.0,15,2.0
91,13,4,4,7,17,6,4,3.0,20.0,22.5,30,3.0
92,13,5,5,3,17,4,3,1.0,11.0,13.75,10,2.0
93,13,6,8,7,18,6,2,4.0,18.0,18.75,30,4.0
94,13,7,6,9,18,8,5,6.0,27.0,27.5,40,4.0
95,13,8,7,8,3,8,18,2.0,50.0,61.25,35,4.0
96,14,1,1,5,19,5,1,1.0,10.0,12.5,20,2.0
97,14,2,3,11,19,7,2,3.0,21.0,23.75,50,3.0
98,14,3,4,15,18,11,5,9.0,39.0,38.75,70,4.0
99,14,4,2,9,21,6,1,3.0,15.0,16.25,40,4.0
100,14,5,8,13,18,11,4,5.0,32.0,35.0,60,5.0
101,14,6,6,10,20,8,1,5.0,21.0,21.25,45,4.0
102,14,7,5,5,20,6,1,3.0,12.0,12.5,20,3.0
103,14,8,7,11,20,10,2,5.0,25.0,26.25,50,4.0
104,15,1,4,5,19,3,1,1.0,8.0,10.0,20,1.0
105,15,2,2,5,18,3,1,1.0,9.0,11.25,20,1.0
106,15,3,3,6,19,3,4,4.0,15.0,15.0,25,1.0
107,15,4,1,5,20,3,6,1.0,12.0,15.0,20,1.0
108,15,5,7,5,20,3,6,1.0,12.0,15.0,20,1.0
109,15,6,5,5,20,3,6,1.0,12.0,15.0,20,1.0
110,15,7,6,5,20,4,1,2.0,9.0,10.0,20,3.0
111,15,8,8,5,20,4,1,2.0,9.0,10.0,20,5.0
112,16,1,1,13,19,11,6,5.0,33.0,36.25,60,2.0
113,16,2,3,14,19,8,7,3.0,30.0,35.0,65,3.0
114,16,3,2,14,20,12,3,10.0,36.0,33.75,65,3.0
115,16,4,4,14,20,16,1,11.0,39.0,36.25,65,4.0
116,16,5,6,9,20,10,2,5.0,23.0,23.75,40,2.0
117,16,6,7,8,20,10,2,5.0,22.0,22.5,35,2.0
118,16,7,8,13,20,14,3,13.0,40.0,35.0,60,4.0
119,16,8,5,11,21,12,2,1.0,22.0,27.5,50,1.0
120,17,1,3,9,21,5,1,3.0,14.0,15.0,40,4.0
121,17,2,1,9,21,5,1,5.0,16.0,15.0,40,4.0
122,17,3,4,9,21,7,1,8.0,21.0,17.5,40,5.0
123,17,4,2,9,21,8,1,10.0,24.0,18.75,40,5.0
124,17,5,8,9,21,6,1,8.0,20.0,16.25,40,5.0
125,17,6,7,9,21,7,1,8.0,21.0,17.5,40,5.0
126,17,7,5,9,21,6,1,7.0,19.0,16.25,40,5.0
127,17,8,6,11,21,8,1,10.0,26.0,21.25,50,6.0
128,18,1,2,11,21,3,11,2.0,23.0,27.5,50,1.0
129,18,2,4,11,20,7,4,3.0,22.0,25.0,50,1.0
130,18,3,1,11,21,9,11,1.0,28.0,35.0,50,1.0
131,18,4,3,11,20,7,9,1.0,25.0,31.25,50,1.0
132,18,5,5,11,21,8,7,1.0,23.0,28.75,50,1.0
133,18,6,8,9,20,7,4,5.0,22.0,22.5,40,3.0
134,18,7,7,13,19,7,5,1.0,24.0,30.0,60,2.0
135,18,8,6,11,19,6,5,4.0,24.0,26.25,50,2.0
136,19,1,4,14,12,11,11,9.0,50.0,52.5,65,5.0
137,19,2,2,15,9,16,9,9.0,57.0,61.25,70,5.0
138,19,3,3,9,19,9,3,3.0,22.0,25.0,40,3.0
